#TrainType3  -  Started: 5/25/2007 3:03:34 PM									
#SubID	Block	Trial	Condition	Digit	Picture	Response	Correct_Response	Accuracy	RT
26	3	21	2	1	2	Z	Z	C	386
26	3	22	2	3	1	C	C	C	652
26	3	23	2	4	4	M	M	C	440
26	3	24	2	4	4	M	M	C	434
26	3	25	2	3	1	C	C	C	514
26	3	26	2	3	1	C	C	C	482
26	3	27	2	3	1	C	C	C	514
26	3	28	2	2	5	X	X	C	610
26	3	29	2	2	5	X	X	C	402
26	3	30	2	3	1	C	C	C	498
26	3	31	2	5	3	","	","	C	642
26	3	32	2	1	2	Z	Z	C	562
26	3	33	2	4	4	M	M	C	658
26	3	34	2	3	1	C	C	C	594
26	3	35	2	5	3	","	","	C	605
26	3	36	2	4	4	M	M	C	557
26	3	37	2	4	4	M	M	C	450
26	3	38	2	3	1	C	C	C	834
26	3	39	2	2	5	X	X	C	524
26	3	40	2	1	2	Z	Z	C	402
26	3	41	2	3	1	C	C	C	594
26	3	42	2	3	1	C	C	C	610
26	3	43	2	2	5	X	X	C	428
26	3	44	2	3	1	C	C	C	818
26	3	45	2	4	4	M	M	C	498
26	3	46	2	4	4	M	M	C	722
26	3	47	2	3	1	C	C	C	674
26	3	48	2	5	3	","	","	C	519
26	3	49	2	1	2	Z	Z	C	514
26	3	50	2	3	1	C	C	C	701
26	4	1	2	2	5	X	X	C	548
26	4	2	2	2	5	X	X	C	386
26	4	3	2	6	6	.	.	C	546
26	4	4	2	4	4	C	M	I	450
26	4	5	2	5	3	","	","	C	674
26	4	6	2	4	4	M	M	C	556
26	4	7	2	6	6	.	.	C	476
26	4	8	2	1	2	Z	Z	C	498
26	4	9	2	5	3	","	","	C	706
26	4	10	2	6	6	.	.	C	482
26	4	11	2	5	3	","	","	C	450
26	4	12	2	2	5	X	X	C	407
26	4	13	2	4	4	M	M	C	498
26	4	14	2	4	4	M	M	C	498
26	4	15	2	1	2	Z	Z	C	498
26	4	16	2	1	2	Z	Z	C	402
26	4	17	2	3	1	C	C	C	610
26	4	18	2	4	4	M	M	C	450
26	4	19	2	4	4	M	M	C	466
26	4	20	2	5	3	","	","	C	370
26	4	21	2	4	4	M	M	C	562
26	4	22	2	6	6	.	.	C	482
26	4	23	2	3	1	C	C	C	610
26	4	24	2	6	6	.	.	C	498
26	4	25	2	6	6	.	.	C	386
26	4	26	2	1	2	Z	Z	C	418
26	4	27	2	3	1	C	C	C	546
26	4	28	2	4	4	M	M	C	482
26	4	29	2	6	6	.	.	C	514
26	4	30	2	4	4	M	M	C	498
26	4	31	2	2	5	X	X	C	562
26	4	32	2	3	1	C	C	C	460
26	4	33	2	3	1	C	C	C	514
26	4	34	2	2	5	X	X	C	386
26	4	35	2	3	1	C	C	C	466
26	4	36	2	4	4	M	M	C	514
26	4	37	2	2	5	X	X	C	530
26	4	38	2	1	2	Z	Z	C	556
26	4	39	2	4	4	M	M	C	498
26	4	40	2	2	5	X	X	C	498
