41	1	1	4	3	1	2	600	1	4	2	1	4	750	1	
41	1	2	4	3	1	2	600	1	1	4	1	1	587	1	
41	1	3	4	3	1	2	600	1	3	1	1	3	682	1	
41	1	4	4	3	1	2	600	1	1	4	1	1	579	1	
41	1	5	4	3	1	2	600	1	4	2	1	4	555	1	
41	1	6	4	3	1	2	600	1	4	2	1	4	580	1	
41	1	7	4	3	1	2	600	1	1	4	1	1	493	1	
41	1	8	4	3	1	2	600	1	1	2	0	1	369	1	
41	1	9	4	3	1	2	600	1	4	2	1	4	490	1	
41	1	10	4	3	1	2	600	1	3	1	1	3	771	1	
41	1	11	4	3	1	2	600	1	4	2	1	4	539	1	
41	1	12	4	3	1	2	600	1	2	3	1	2	541	1	
41	1	13	4	3	1	2	600	1	1	4	1	1	502	1	
41	1	14	4	3	1	2	600	1	4	2	1	4	511	1	
41	1	15	4	3	1	2	600	1	3	1	1	3	407	1	
41	1	16	4	3	1	2	600	1	4	2	1	4	544	1	
41	1	17	4	3	1	2	600	1	1	4	1	1	424	1	
41	1	18	4	3	1	2	600	1	4	2	1	4	577	1	
41	1	19	4	3	1	2	600	1	3	1	1	3	698	1	
41	1	20	4	3	1	2	600	1	4	2	1	4	498	1	
41	2	1	4	3	1	2	600	1	4	2	1	4	368	1	
41	2	2	4	3	1	2	600	1	1	4	1	1	412	1	
41	2	3	4	3	1	2	600	1	3	1	1	4	530	0	
41	2	4	4	3	1	2	600	1	1	4	1	1	523	1	
41	2	5	4	3	1	2	600	1	1	4	1	1	467	1	
41	2	6	4	3	1	2	600	1	1	4	1	1	412	1	
41	2	7	4	3	1	2	600	1	2	3	1	1	453	0	
41	2	8	4	3	1	2	600	1	3	1	1	3	574	1	
41	2	9	4	3	1	2	600	1	1	4	1	4	1078	0	
41	2	10	4	3	1	2	600	1	1	4	1	1	455	1	
41	2	11	4	3	1	2	600	1	4	1	0	4	407	1	
41	2	12	4	3	1	2	600	1	1	4	1	1	544	1	
41	2	13	4	3	1	2	600	1	2	3	1	2	664	1	
41	2	14	4	3	1	2	600	1	1	4	1	1	481	1	
41	2	15	4	3	1	2	600	1	2	3	1	1	426	0	
41	2	16	4	3	1	2	600	1	1	4	1	1	579	1	
41	2	17	4	3	1	2	600	1	3	1	1	4	604	0	
41	2	18	4	3	1	2	600	1	3	1	1	3	692	1	
