#TrainType2  -  Started: 4/27/2007 3:31:07 PM	
#SubID	Block	Trial	Condition	Display	Response	Correct_Response	Accuracy	RT	Intertrial_Interval_After_Response	
33	6	20	1	K	X	Z	I	545	1537	
33	7	1	1	G	/	/	C	725	1017	
33	7	2	1	V	X	X	C	678	1119	
33	7	3	1	D	C	C	C	560	1515	
33	7	4	1	V	X	X	C	724	1908	
33	7	5	1	K	Z	Z	C	571	1375	
33	7	6	1	D	C	C	C	1312	1529	
33	7	7	1	V	X	X	C	806	1863	
33	7	8	1	G	/	/	C	696	1981	
33	7	9	1	S	,	,	C	1170	1587	
33	7	10	1	V	X	X	C	764	1400	
33	7	11	1	D	C	C	C	1095	1403	
33	7	12	1	S	,	,	C	1092	1077	
33	7	13	1	V	X	X	C	890	1540	
33	7	14	1	D	C	C	C	715	1720	
33	7	15	1	S	,	,	C	887	1000	
33	7	16	1	G	/	/	C	743	1972	
33	7	17	1	K	Z	Z	C	619	1198	
33	7	18	1	B	.	.	C	945	1174	
33	7	19	1	V	X	X	C	633	1848	
33	7	20	1	K	Z	Z	C	615	1389	
33	8	1	1	D	C	C	C	917	1106	
33	8	2	1	K	Z	Z	C	605	1656	
33	8	3	1	K	Z	Z	C	663	1965	
33	8	4	1	V	X	X	C	658	1512	
33	8	5	1	K	Z	Z	C	631	1886	
33	8	6	1	K	Z	Z	C	449	1758	
33	8	7	1	B	.	.	C	865	1698	
33	8	8	1	K	Z	Z	C	589	1472	
33	8	9	1	D	C	C	C	639	1735	
33	8	10	1	D	C	C	C	456	1277	
33	8	11	1	B	.	.	C	898	1225	
33	8	12	1	D	C	C	C	646	1857	
33	8	13	1	K	Z	Z	C	574	1934	
33	8	14	1	G	/	/	C	577	1716	
33	8	15	1	S	,	,	C	571	1050	
33	8	16	1	D	C	C	C	837	1204	
33	8	17	1	G	/	/	C	635	1336	
33	8	18	1	S	,	,	C	711	1777	
33	8	19	1	K	Z	Z	C	606	1507	
33	8	20	1	D	C	C	C	588	1509	
33	9	1	1	D	C	C	C	725	1878	
33	9	2	1	K	Z	Z	C	809	1866	
33	9	3	1	V	X	X	C	629	1254	
33	9	4	1	K	Z	Z	C	1097	1716	
33	9	5	1	D	C	C	C	459	1070	
33	9	6	1	V	X	X	C	577	1594	
33	9	7	1	B	.	.	C	693	1782	
33	9	8	1	V	X	X	C	713	1223	
33	9	9	1	G	/	/	C	600	1504	
33	9	10	1	G	/	/	C	623	1274	
33	9	11	1	D	X	C	I	613	1906	
33	9	12	1	K	Z	Z	C	749	1384	
33	9	13	1	S	,	,	C	1399	1347	
33	9	14	1	G	/	/	C	620	1422	
33	9	15	1	B	.	.	C	833	1271	
33	9	16	1	V	X	X	C	648	1003	
33	9	17	1	S	,	,	C	948	1846	
33	9	18	1	V	X	X	C	841	1256	
33	9	19	1	K	Z	Z	C	1175	1853	
33	9	20	1	K	Z	Z	C	658	1839	
33	10	1	1	G	/	/	C	773	1827	
33	10	2	1	G	/	/	C	524	1200	
33	10	3	1	V	X	X	C	639	1450	
33	10	4	1	G	/	/	C	581	1102	
33	10	5	1	S	,	,	C	801	1190	
33	10	6	1	S	,	,	C	505	1380	
33	10	7	1	S	,	,	C	427	1192	
33	10	8	1	B	.	.	C	647	1960	
33	10	9	1	D	C	C	C	695	1419	
33	10	10	1	D	C	C	C	437	1122	
33	10	11	1	S	,	,	C	749	1039	
33	10	12	1	V	X	X	C	624	1025	
33	10	13	1	V	X	X	C	574	1071	
33	10	14	1	K	Z	Z	C	608	1461	
33	10	15	1	B	,	.	I	1242	1274	
33	10	16	1	G	/	/	C	693	1874	
33	10	17	1	G	/	/	C	525	1285	
33	10	18	1	G	/	/	C	442	1629	
33	10	19	1	S	,	,	C	642	1012	
33	10	20	1	K	Z	Z	C	555	1527	
33	11	1	1	B	.	.	C	1445	1275	
33	11	2	1	D	C	C	C	804	1566	
33	11	3	1	G	/	/	C	625	1695	
33	11	4	1	G	/	/	C	576	1962	
33	11	5	1	V	X	X	C	725	1835	
33	11	6	1	K	Z	Z	C	564	1411	
33	11	7	1	G	/	/	C	540	1591	
33	11	8	1	K	Z	Z	C	552	1609	
33	11	9	1	S	,	,	C	806	1836	
33	11	10	1	S	,	,	C	515	1010	
33	11	11	1	S	,	,	C	493	1301	
33	11	12	1	V	X	X	C	619	1852	
33	11	13	1	D	C	C	C	595	1727	
33	11	14	1	K	Z	Z	C	544	1410	
33	11	15	1	K	Z	Z	C	525	1249	
33	11	16	1	S	,	,	C	606	1526	
33	11	17	1	D	C	C	C	553	1038	
33	11	18	1	S	,	,	C	881	1361	
33	11	19	1	S	,	,	C	638	1191	
33	11	20	1	D	C	C	C	808	1422	
33	12	1	1	G	/	/	C	613	1874	
33	12	2	1	K	Z	Z	C	493	1818	
33	12	3	1	K	Z	Z	C	405	1709	
33	12	4	1	S	,	,	C	418	1783	
33	12	5	1	D	C	C	C	584	1418	
33	12	6	1	B	.	.	C	853	1436	
33	12	7	1	G	/	/	C	755	1714	
33	12	8	1	S	.	,	I	781	1803	
33	12	9	1	V	X	X	C	676	1434	
33	12	10	1	B	.	.	C	693	1075	
33	12	11	1	K	Z	Z	C	668	1943	
33	12	12	1	G	/	/	C	664	1131	
33	12	13	1	S	,	,	C	868	1762	
33	12	14	1	G	/	/	C	637	1299	
33	12	15	1	V	X	X	C	556	1465	
33	12	16	1	G	/	/	C	1094	1372	
33	12	17	1	V	X	X	C	595	1819	
33	12	18	1	B	.	.	C	1428	1875	
33	12	19	1	S	,	,	C	620	1173	
33	12	20	1	V	X	X	C	634	1578	
33	13	1	1	S	.	,	I	901	1102	
33	13	2	1	G	/	/	C	689	1269	
33	13	3	1	D	C	C	C	858	1293	
33	13	4	1	B	.	.	C	898	1759	
33	13	5	1	V	X	X	C	640	1688	
33	13	6	1	G	/	/	C	839	1156	
33	13	7	1	K	C	Z	I	795	1875	
33	13	8	1	G	/	/	C	652	1376	
33	13	9	1	K	Z	Z	C	591	1727	
33	13	10	1	G	/	/	C	608	1911	
33	13	11	1	G	/	/	C	536	1296	
33	13	12	1	G	/	/	C	495	1843	
33	13	13	1	D	C	C	C	1164	1951	
