sid,Block,Trial,Condition,Digit,Picture,Response,Correct_Response,Accuracy,RT
9,3,21,3,2,5,X,X,C,546
9,3,22,3,6,6,.,.,C,642
9,3,23,3,2,5,X,X,C,526
9,3,24,3,6,6,.,.,C,594
9,3,25,3,5,3,",",",",C,610
9,3,26,3,2,5,X,X,C,654
9,3,27,3,6,6,.,.,C,498
9,3,28,3,6,6,.,.,C,542
9,3,29,3,4,4,M,M,C,594
9,3,30,3,2,5,X,X,C,418
9,3,31,3,3,1,C,C,C,606
9,3,32,3,4,4,M,M,C,562
9,3,33,3,3,1,C,C,C,546
9,3,34,3,4,4,M,M,C,450
9,3,35,3,2,5,X,X,C,577
9,3,36,3,2,5,X,X,C,562
9,3,37,3,2,5,X,X,C,514
9,3,38,3,6,6,.,.,C,546
9,3,39,3,3,1,C,C,C,610
9,3,40,3,5,3,",",",",C,530
9,3,41,3,1,2,Z,Z,C,546
9,3,42,3,2,5,X,X,C,1090
9,3,43,3,3,1,C,C,C,786
9,3,44,3,5,3,",",",",C,578
9,3,45,3,6,6,.,.,C,497
9,3,46,3,3,1,C,C,C,606
9,3,47,3,6,6,.,.,C,450
9,3,48,3,3,1,X,C,I,466
9,3,49,3,4,4,M,M,C,634
9,3,50,3,3,1,C,C,C,546
9,4,1,3,1,2,Z,Z,C,582
9,4,2,3,3,1,C,C,C,610
9,4,3,3,6,6,.,.,C,578
9,4,4,3,1,2,Z,Z,C,642
9,4,5,3,2,5,X,X,C,610
9,4,6,3,2,5,X,X,C,610
9,4,7,3,4,4,M,M,C,546
9,4,8,3,5,3,",",",",C,706
9,4,9,3,3,1,C,C,C,658
9,4,10,3,5,3,",",",",C,494
9,4,11,3,6,6,.,.,C,562
9,4,12,3,6,6,.,.,C,434
9,4,13,3,6,6,.,.,C,386
9,4,14,3,6,6,.,.,C,434
9,4,15,3,1,2,Z,Z,C,946
9,4,16,3,5,3,",",",",C,594
9,4,17,3,1,2,Z,Z,C,498
9,4,18,3,6,6,.,.,C,546
9,4,19,3,5,3,",",",",C,478
9,4,20,3,6,6,.,.,C,770
9,4,21,3,1,2,Z,Z,C,498
9,4,22,3,2,5,X,X,C,642
9,4,23,3,6,6,.,.,C,526
9,4,24,3,2,5,X,X,C,594
9,4,25,3,6,6,.,.,C,722
9,4,26,3,1,2,Z,Z,C,530
9,4,27,3,1,2,Z,Z,C,434
9,4,28,3,4,4,M,M,C,530
9,4,29,3,4,4,M,M,C,418
9,4,30,3,5,3,",",",",C,494
9,4,31,3,3,1,X,C,I,545
9,4,32,3,4,4,M,M,C,558
9,4,33,3,4,4,M,M,C,469
9,4,34,3,5,3,",",",",C,562
9,4,35,3,4,4,M,M,C,546
9,4,36,3,1,2,Z,Z,C,530
9,4,37,3,4,4,M,M,C,610
9,4,38,3,5,3,",",",",C,626
9,4,39,3,5,3,",",",",C,530
9,4,40,3,6,6,.,.,C,354
9,4,41,3,6,6,.,.,C,386
9,4,42,3,2,5,X,X,C,590
9,4,43,3,2,5,X,X,C,434
9,4,44,3,2,5,X,X,C,338
9,4,45,3,6,6,.,.,C,449
9,4,46,3,2,5,X,X,C,498
9,4,47,3,3,1,C,C,C,530
9,4,48,3,1,2,Z,Z,C,526
9,4,49,3,6,6,",",.,I,434
9,4,50,3,4,4,M,M,C,577
9,5,1,3,1,2,Z,Z,C,602
9,5,2,3,4,4,M,M,C,593
9,5,3,3,5,3,",",",",C,482
9,5,4,3,2,5,X,X,C,690
9,5,5,3,1,2,Z,Z,C,529
9,5,6,3,6,6,.,.,C,530
9,5,7,3,1,2,Z,Z,C,530
9,5,8,3,4,4,M,M,C,526
9,5,9,3,5,3,",",",",C,594
9,5,10,3,1,2,Z,Z,C,498
9,5,11,3,5,3,",",",",C,546
