sid,block,trial,associaiton_1,association_2,association_3,association_4,training_condition,order_condition,symbol,cue,cue_correct,response,rt,correct,phase
86,1,1,3,2,4,1,-400,1,1,3,1,1,975,1,Training
86,1,2,3,2,4,1,-400,1,3,4,1,4,1370,0,Training
86,1,3,3,2,4,1,-400,1,2,2,1,2,1386,1,Training
86,1,4,3,2,4,1,-400,1,2,2,1,2,1153,1,Training
86,1,5,3,2,4,1,-400,1,1,3,1,1,575,1,Training
86,1,6,3,2,4,1,-400,1,3,4,1,3,695,1,Training
86,1,7,3,2,4,1,-400,1,3,1,0,3,871,1,Training
86,1,8,3,2,4,1,-400,1,2,2,1,2,596,1,Training
86,1,9,3,2,4,1,-400,1,1,3,1,1,584,1,Training
86,1,10,3,2,4,1,-400,1,2,2,1,2,607,1,Training
86,1,11,3,2,4,1,-400,1,3,4,1,3,707,1,Training
86,1,12,3,2,4,1,-400,1,4,1,1,4,537,1,Training
86,1,13,3,2,4,1,-400,1,4,1,1,4,546,1,Training
86,1,14,3,2,4,1,-400,1,3,4,1,3,632,1,Training
86,1,15,3,2,4,1,-400,1,1,3,1,1,507,1,Training
86,1,16,3,2,4,1,-400,1,3,4,1,3,723,1,Training
86,1,17,3,2,4,1,-400,1,2,2,1,3,545,0,Training
86,1,18,3,2,4,1,-400,1,4,4,0,4,578,1,Training
86,1,19,3,2,4,1,-400,1,1,4,0,1,522,1,Training
86,1,20,3,2,4,1,-400,1,4,1,1,4,516,1,Training
86,2,1,3,2,4,1,-400,1,1,2,0,1,532,1,Training
86,2,2,3,2,4,1,-400,1,4,1,1,4,519,1,Training
86,2,3,3,2,4,1,-400,1,2,2,1,2,532,1,Training
86,2,4,3,2,4,1,-400,1,4,1,1,4,484,1,Training
86,2,5,3,2,4,1,-400,1,4,2,0,4,563,1,Training
86,2,6,3,2,4,1,-400,1,4,1,1,4,431,1,Training
86,2,7,3,2,4,1,-400,1,4,1,1,4,347,1,Training
86,2,8,3,2,4,1,-400,1,4,1,1,4,368,1,Training
86,2,9,3,2,4,1,-400,1,2,2,1,2,463,1,Training
86,2,10,3,2,4,1,-400,1,4,4,0,4,522,1,Training
86,2,11,3,2,4,1,-400,1,2,2,1,2,482,1,Training
86,2,12,3,2,4,1,-400,1,4,2,0,4,364,1,Training
86,2,13,3,2,4,1,-400,1,3,4,1,4,548,0,Training
86,2,14,3,2,4,1,-400,1,2,2,1,2,511,1,Training
